,track_name,artist_name,track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,Loser,3 Doors Down,1aC1IBAETh2XYGOE8kCC6t,0.493,0.88,-6.424,0.0693,0.0108,2.66e-05,0.226,0.389,147.913,4
1,Hanging by a Moment,Lifehouse,0wqOReZDnrefefEsrIGeR4,0.541,0.864,-4.915,0.0357,0.00118,0,0.0896,0.435,124.557,4
2,Kryptonite,3 Doors Down,6ZOBP3NvffbU4SZcrnt1k6,0.545,0.865,-5.708,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,4
3,Otherside,Red Hot Chili Peppers,64BbK9SFKH2jk86U3dGj2P,0.458,0.795,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229,4
4,Hemorrhage (In My Hands),Fuel,1sjrDQXqAa9V07FjKIlAQ4,0.301,0.823,-4.072,0.0433,0.000144,0.000309,0.0833,0.372,152.017,4
5,Butterfly,Crazy Town,4BggEwLhGfrbrl7JBhC8EC,0.736,0.811,-4.17,0.081,0.00132,0.000142,0.107,0.609,103.502,4
6,With Arms Wide Open,Creed,0eKyHwckh9vQb8ncZ2DXCs,0.41,0.539,-8.412,0.0302,0.00425,0.00089,0.117,0.141,138.852,4
7,Drive,Incubus,7nnWIPM5hwE3DaUBkvOIpy,0.645,0.792,-7.34,0.036,0.0562,0.0121,0.119,0.666,90.565,4
8,Why Pt. 2,Collective Soul,7ldnttFcRZRgfLSNmDbSSg,0.668,0.647,-4.946,0.0813,0.0284,0.000349,0.134,0.747,121.628,3
9,Last Resort,Papa Roach,5W8YXBz9MTIDyrpYaCg2Ky,0.589,0.89,-3.719,0.0603,0.000481,0.00082,0.201,0.692,90.598,4
10,Awake,Godsmack,6xXlurslWqFuyqTCBlErzX,0.395,0.756,-4.12,0.0544,1.74e-05,0.00665,0.319,0.475,112.092,4
11,Outside,Aaron Lewis,6eSrE9uc8oqyxXMfzdbZMC,0.358,0.429,-9.569,0.0337,0.801,0.000176,0.975,0.202,145.482,4
12,Rollin' (Air Raid Vehicle),Limp Bizkit,3IV4swNduIRunHREK80owz,0.603,0.933,-3.358,0.171,0.00591,0,0.206,0.709,96.306,4
13,I Disappear,Metallica,51Vic2Yi71YKNtLbyJKgQt,0.534,0.929,-3.609,0.047,0.000206,5.58e-05,0.036,0.447,122.733,4
14,One Step Closer,Linkin Park,3K4HG9evC7dg3N0R9cYqk4,0.492,0.969,-4.419,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,4
15,Pardon Me,Incubus,1Y13csEpu3TK5gQdzGLrd8,0.579,0.812,-6.509,0.0693,0.00114,0.00333,0.115,0.278,152.002,4
16,Take A Picture,Filter,6q4aoWgTQ8td2AvqQXuFqm,0.541,0.776,-8.042,0.0298,0.00147,0.000221,0.178,0.282,98.986,4
17,Californication,Red Hot Chili Peppers,48UPSzbZjgc449aqz8bxox,0.592,0.767,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,4
18,Miserable,Lit,2zLZuZFgf4mn3af8wILpHS,0.424,0.706,-3.548,0.0404,0.00384,0,0.395,0.294,82.081,4
19,The Real Slim Shady,Eminem,3yfqSUWxFvZELEM4PmlwIR,0.949,0.661,-4.244,0.0572,0.0302,0,0.0454,0.76,104.504,4
20,Minority,Green Day,4qjfQnccStTR8zNsb6Mizo,0.551,0.965,-2.772,0.0452,0.00576,0,0.171,0.708,137.841,4
21,Rollin' (Urban Assault Vehicle),Limp Bizkit,3nsxMrnYlfBNotHRevTRgM,0.589,0.884,-4.918,0.324,0.0451,0,0.0904,0.439,90.036,4
22,The Everlasting Gaze,The Smashing Pumpkins,4EhbLHYOXzEoPmOfaVoIIW,0.264,0.936,-5.067,0.0946,0.000101,0.594,0.199,0.351,146.837,4
23,Voodoo,Godsmack,5uGsG0LfotfWDq6hql4h53,0.778,0.613,-9.897,0.0488,0.17,2.56e-06,0.102,0.853,120.005,4
24,Only God Knows Why,Kid Rock,1rAzW6aco1ZtxLRx4XOagB,0.628,0.749,-5.18,0.03,0.0569,0.00204,0.134,0.31,129.2,4
25,Again,Lenny Kravitz,5c1QJAiC3773EwiZLwHf5x,0.55,0.804,-5.218,0.0271,0.0148,4.33e-05,0.105,0.789,79.166,4
26,Everything You Want,Vertical Horizon,4cKGldbhGJniI8BrB3K6tb,0.636,0.761,-6.389,0.0306,0.0517,0,0.0642,0.736,93.896,4
27,Original Prankster,The Offspring,6gfDXAX85YWdVwxpbz0npv,0.664,0.877,-4.251,0.0334,0.000542,2.95e-05,0.284,0.961,146.804,4
28,Little Black Backpack,Stroke 9,36n3OdHmEJqvWl5Ut2pDtF,0.316,0.778,-5.375,0.0441,0.00115,0,0.227,0.311,120.292,3
29,Guerrilla Radio,Rage Against The Machine,1wsRitfRRtWyEapl0q22o8,0.599,0.957,-5.764,0.188,0.0129,7.06e-05,0.155,0.489,103.68,4
30,Yellow,Coldplay,3AJwUDP919kvQ9QcozQPxg,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
31,Stiff Upper Lip,AC/DC,1KBuhAHzia2qoD4u6YhvER,0.588,0.851,-4.206,0.033,0.0344,0.00773,0.16,0.706,123.691,4
32,South Side,Moby,49bUJjrC16NgnrgGS75Yan,0.61,0.723,-7.572,0.0422,0.0103,0.0447,0.0748,0.45,97.147,4
33,Stand Inside Your Love,The Smashing Pumpkins,3RciEQxS7PxtLqMs7OwRsU,0.271,0.759,-7.419,0.0327,3.37e-06,0.842,0.335,0.381,136.081,4
34,Falling Away From Me,Korn,2F6FfZ4w8z3eJpSxPotVO5,0.468,0.769,-7.036,0.041,0.00014,0.00124,0.271,0.17,104.102,4
35,Warning,Green Day,0ue0gFLwvXd8qZIPg35Qiu,0.728,0.92,-2.828,0.0294,0.0673,1.61e-05,0.199,0.892,120.989,4
36,Sour Girl,Stone Temple Pilots,6wNwHBUjsessjRioNVFbaO,0.394,0.663,-6.619,0.0295,0.0769,0.00644,0.239,0.737,207.575,4
37,Beautiful Day,U2,1VuBmEauSZywQVtqbxNqka,0.539,0.926,-6.495,0.0499,0.014,0.00136,0.36,0.454,136.279,4
38,The Bad Touch,Bloodhound Gang,5EYdTPdJD74r9EVZBztqGG,0.831,0.735,-6.254,0.0384,0.00397,0.0205,0.123,0.97,122.979,4
39,Change (In the House of Flies),Deftones,51c94ac31swyDQj9B3Lzs3,0.269,0.853,-4.647,0.0854,0.000249,0.000246,0.118,0.179,141.581,4
40,Stellar,Incubus,6ISuXA3UCPMtsyEUGUTAyn,0.582,0.765,-6.544,0.0376,0.00106,0.0506,0.344,0.528,128.164,4
41,Wonderful,Everclear,0WHOPmOuQKuu05k4g3UTvk,0.514,0.817,-6.489,0.05,0.0118,8.25e-06,0.346,0.734,186.765,4
42,Judith,A Perfect Circle,5KDNFlHAdDJ84fhK27c35X,0.366,0.894,-4.682,0.0568,3.45e-05,0.17,0.267,0.304,82.305,3
