,track_name,artist_name
0,Loser,3 Doors Down
1,Hanging by a Moment,Lifehouse
2,Kryptonite,3 Doors Down
3,No Leaf Clover,Metallica with Michael Kamen conducting The San Francisco Symphony Orchestra
4,Otherside,Red Hot Chili Peppers
5,Hemorrhage (In My Hands),Fuel
6,Butterfly,Crazy Town
7,With Arms Wide Open,Creed
8,Drive,Incubus
9,Why Pt. 2,Collective Soul
10,Last Resort,Papa Roach
11,Awake,Godsmack
12,Outside,Aaron Lewis
13,Rollin' (Air Raid Vehicle),Limp Bizkit
14,I Disappear,Metallica
15,One Step Closer,Linkin Park
16,Pardon Me,Incubus
17,Take A Picture,Filter
18,Californication,Red Hot Chili Peppers
19,Miserable,Lit
20,The Real Slim Shady,Eminem
21,Maria Maria,Santana
22,Minority,Green Day
23,Rollin' (Urban Assault Vehicle),Limp Bizkit
24,The Everlasting Gaze,The Smashing Pumpkins
25,Voodoo,Godsmack
26,Only God Knows Why,Kid Rock
27,Why (Part 2),Collective Soul
28,Again,Lenny Kravitz
29,Everything You Want,Vertical Horizon
30,Original Prankster,The Offspring
31,Little Black Backpack,Stroke 9
32,Guerrilla Radio,Rage Against The Machine
33,Breadline,Megadeth
34,Yellow,Coldplay
35,Stiff Upper Lip,AC/DC
36,South Side,Moby
37,Stand Inside Your Love,The Smashing Pumpkins
38,Falling Away From Me,Korn
39,Warning,Green Day
40,Sour Girl,Stone Temple Pilots
41,Beautiful Day,U2
42,The Bad Touch,Bloodhound Gang
43,Change (In the House of Flies),Deftones
44,Stellar,Incubus
45,Was,Kenny Wayne Shepherd Band
46,Wonderful,Everclear
47,Judith,A Perfect Circle
48,Optimistic,Radiohead
49,What If,Creed
50,Weapon & The Wound,Days Of The New
51,N.I.B.,Primus with Ozzy Osbourne
52,Shape of My Heart,Backstreet Boys
53,Serious JuJu,Sammy Hagar
54,Maybe Some Day,The Cure
55,Goodbye Lament,Iommi featuring Dave Grohl
56,Right Now,SR-71
57,Nothing As It Seems,Pearl Jam
58,Ex-Girlfriend,No Doubt
59,Into The Void,Nine Inch Nails
60,Adam's Song,Blink-182
61,The Great Beyond,R.E.M.
62,So Sad To Say,The Mighty Mighty Bosstones
63,Boyz-N-The-Hood,Dynamite Hack
64,Voices,Disturbed
65,Rise,Gabrielle
66,Hell On High Heels,Motley Crue
67,Simple Kind Of Life,No Doubt
68,Last Goodbye,Kenny Wayne Shepherd Band
69,When It All Goes Wrong Again,Everclear
70,Angel's Son,Lajon
71,Man Overboard,Blink-182
72,Silver Future,Monster Magnet
73,Breathless,The Corrs
74,Make Me Bad,Korn
75,Never Let You Go,Third Eye Blind
76,Take a Look Around,Limp Bizkit
77,AM Radio,Everclear
78,If You're Gone,matchbox twenty
79,Young Lust,Pink Floyd
80,She Bangs,Ricky Martin
81,Promise,Eve 6
82,It's My Life,Bon Jovi
83,Never Gonna Come Back Down,BT
84,Warm Machine,Bush
85,Babylon,David Gray
86,Painted Perfect,One Way Ride
87,Flowing,311
88,Next Year,Foo Fighters
89,The Hollow,A Perfect Circle
90,Heaven & Hot Rods,Stone Temple Pilots
91,Teenage Dirtbag,Wheatus
92,I Turn to You,Melanie C
93,Karma,Diffuser
94,Light Years,Pearl Jam
95,Letting the Cables Sleep,Bush
96,Are You Ready?,Creed
97,Nobody's Real,Powerman 5000
98,Step into the Light,Dust for Life
99,On The Roof Again,Eve 6
100,How You Remind Me,Nickelback
101,It's Been Awhile,Staind
102,Blurry,Puddle of Mudd
103,Wasting My Time,Default
104,Hanging By A Moment,Lifehouse
105,My Sacrifice,Creed
106,Butterfly,Crazy Town
107,In the End,Linkin Park
108,Too Bad,Nickelback
109,The Middle,Jimmy Eat World
110,Youth of the Nation,P.O.D.
111,Awake,Godsmack
112,Smooth Criminal,Alien Ant Farm
113,For You,Staind
114,Jaded,Aerosmith
115,South Side,Moby featuring Gwen Stefani
116,Thank You,Dido
117,Warning,Green Day
118,Crawling in the Dark,Hoobastank
119,One Step Closer,Linkin Park
120,Schism, Tool
121,Duck and Run,3 Doors Down
122,Control,Puddle of Mudd
123,Yellow,Coldplay
124,Alive,P.O.D.
125,Follow Me,Uncle Kracker
126,Breakdown,Tantric
127,Wish You Were Here,Incubus
128,Crawling,Linkin Park
129,Fat Lip,Sum 41
130,My Way,Limp Bizkit
131,"Whenever, Wherever",Shakira
132,Lickin',The Black Crowes
133,Hash Pipe,Weezer
134,Just Push Play,Aerosmith 
135,Defy You,The Offspring
136,Nice to Know You,Incubus
137,Your Disease,Saliva
138,When It All Goes Wrong Again,Everclear
139,Fade,Staind
140,Angel's Son,Lajon
141,The Rock Show,Blink-182
142,Clint Eastwood,Gorillaz
143,Greed,Godsmack
